crime_count_500m,violent_count_500m,PIN
139,5,2919200500
167,12,1982200915
73,7,2734100330
56,10,5323100134
4,0,3271800357
0,0,1300302288
11,1,4060000130
147,13,3298700025
26,4,8048600111
73,13,1133000142
85,4,9307300020
326,18,1336300204
44,1,9287801620
29,1,1782000065
10,0,8165500130
20,0,8024202170
75,7,2235000099
50,7,7972602470
33,3,9284801220
87,8,8724900150
0,0,4458300250
6,0,3438500104
3,0,6613001255
59,1,4154300515
9,0,7936000089
23,1,4250900155
65,5,2719100185
523,48,6851700275
0,0,3840700247
80,0,0809001325
121,4,1930300605
6,0,1125049192
0,0,9359100325
0,0,3261020370
59,5,1121000066
26,0,2492200610
51,5,8813400430
0,0,8907620080
5,0,1025039042
58,4,0475000340
59,4,3416600453
37,3,9830200170
213,30,1607100037
314,14,2163900358
30,3,5680000620
32,1,8135700060
95,18,7135300285
0,0,8018600995
84,8,3904100216
67,12,9331800380
33,2,7177300735
37,1,5318100430
87,7,9276200535
48,3,6371500035
32,4,3290800248
0,0,2174502640
0,0,6675500172
265,9,1972202186
41,3,9272202055
21,3,1772600275
13,0,8165501390
288,32,9826701192
112,13,1108000670
90,4,4083306556
0,0,1180006560
48,0,9523101805
39,0,3807500005
57,4,0402000070
73,13,4006000110
0,0,9511100072
7,0,1769600155
17,0,2985800080
7,0,1769600134
0,0,7694200200
242,13,6431500102
42,0,6819100060
82,10,9268200063
295,32,9826701185
71,6,0402000085
248,22,2768100130
25,5,8638500165
61,4,2856100097
9,2,7936500152
0,0,8564600240
20,0,8024201115
312,16,2254501771
65,2,2402100805
78,7,2117700065
152,3,1928300590
0,0,6326000295
21,1,6338000291
9,0,3013301210
21,0,5489200445
41,3,3468800375
45,2,9307300419
219,20,3624039185
514,44,6746701886
100,5,2734101005
320,32,2767604569
43,7,9274201761
288,30,9826701188
12,1,2426039291
218,10,2163901620
29,0,5351200250
3,0,6613001241
31,0,9828700221
38,0,1250201820
28,3,7857003825
0,0,7657600135
71,2,0091000180
126,4,0832000115
290,31,9826701199
43,2,7604400114
204,18,9126100522
29,3,7857003829
0,0,1803900015
26,1,7465900165
323,31,3319500295
2,0,0868000565
11,0,9238901375
61,4,7518503065
157,20,1702900005
48,4,3438500602
252,20,0952006963
13,0,4154305345
0,0,5055800005
630,60,8823901080
48,5,7137300066
76,3,2767601470
40,3,6371500045
43,2,2726049127
0,0,3500100006
7,0,1069000015
31,4,0430000125
63,2,1338800235
46,0,5101405112
68,0,7153200215
0,0,7889601095
49,5,7137300065
361,24,2862101020
51,4,0567000325
0,0,9365700266
0,0,6448000030
91,5,5266300140
19,1,5683000098
55,5,9268200425
6,0,6132600025
8,0,0136000220
68,4,2426039310
26,1,7549801541
6,0,2818600040
56,1,4454800105
19,1,9144100326
56,3,2716600270
18,0,5316100440
28,5,3670500705
66,13,1166000185
0,0,6699100050
82,10,5309100370
83,8,1982201340
102,4,2770602455
34,0,7454000200
104,4,2770602454
7,0,1769600137
35,1,4449800500
13,0,6392001800
106,5,2767601472
24,1,1781500185
73,8,3052700396
17,0,1102001172
62,5,2877101605
93,8,6087100310
71,8,3448002045
0,0,1180006805
12,0,2483200205
93,6,1139000058
0,0,0796000286
156,8,5511600115
1,0,2414600066
1,0,2414600066
86,2,1130000230
22,0,3423600005
184,2,3879901294
0,0,1180005400
5,0,4058800705
59,11,6371000086
15,2,2675600110
131,10,1972200189
1,0,4058201270
12,0,5141000390
43,2,0342000175
28,3,4426600145
28,5,5364200044
14,0,0923000393
50,3,6021503345
32,2,8068000140
66,2,8911000605
46,1,0269000130
37,6,1426300971
130,5,8091100170
